# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
11.19           	U               	(-1.19094535e-01 -4.84140190e-01 -9.34752218e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50375298e-02 1.83876152e-01 8.24413046e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.2            	p               	-7.94011873e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38447542e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.2            	U               	(-1.19093799e-01 -4.84141666e-01 -9.34820077e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50374181e-02 1.83876087e-01 8.24412735e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.21           	p               	-7.93932783e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455471e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.21           	U               	(-1.19093064e-01 -4.84143128e-01 -9.38491455e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50373033e-02 1.83876019e-01 8.24041958e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.22           	p               	-7.93933315e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38455525e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.22           	U               	(-1.19092335e-01 -4.84144594e-01 -9.38453616e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50371887e-02 1.83875953e-01 8.24050201e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.23           	p               	-7.94022485e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38446483e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.23           	U               	(-1.19091609e-01 -4.84146045e-01 -9.34229051e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50370793e-02 1.83875885e-01 8.24464748e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.24           	p               	-7.94022092e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38446856e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.24           	U               	(-1.19090883e-01 -4.84147484e-01 -9.34310096e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50369705e-02 1.83875820e-01 8.24458140e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.25           	p               	-7.93935784e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455379e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.25           	U               	(-1.19090166e-01 -4.84148919e-01 -9.38307735e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50368586e-02 1.83875755e-01 8.24060090e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.26           	p               	-7.93936578e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455491e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.26           	U               	(-1.19089453e-01 -4.84150354e-01 -9.38306551e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50367474e-02 1.83875689e-01 8.24063643e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.27           	p               	-7.94021329e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38446890e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.27           	U               	(-1.19088742e-01 -4.84151773e-01 -9.34270698e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50366398e-02 1.83875625e-01 8.24458613e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.28           	p               	-7.94020335e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38447230e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.28           	U               	(-1.19088032e-01 -4.84153181e-01 -9.34369007e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50365321e-02 1.83875562e-01 8.24450843e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.29           	p               	-7.93939967e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455274e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.29           	U               	(-1.19087328e-01 -4.84154582e-01 -9.38121506e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50364243e-02 1.83875498e-01 8.24076335e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.3            	p               	-7.93940345e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38455397e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.3            	U               	(-1.19086631e-01 -4.84155989e-01 -9.38131195e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50363158e-02 1.83875433e-01 8.24080956e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.31           	p               	-7.94020225e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38447292e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.31           	U               	(-1.19085936e-01 -4.84157377e-01 -9.34319026e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50362101e-02 1.83875371e-01 8.24452412e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.32           	p               	-7.94019230e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38447611e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.32           	U               	(-1.19085242e-01 -4.84158755e-01 -9.34415067e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50361055e-02 1.83875309e-01 8.24443777e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.33           	p               	-7.93943317e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455213e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.33           	U               	(-1.19084554e-01 -4.84160128e-01 -9.37963092e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50359993e-02 1.83875246e-01 8.24091123e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.34           	p               	-7.93943522e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38455332e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.34           	U               	(-1.19083872e-01 -4.84161502e-01 -9.37973342e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50358925e-02 1.83875183e-01 8.24094678e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.35           	p               	-7.94019517e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38447637e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.35           	U               	(-1.19083190e-01 -4.84162860e-01 -9.34348587e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50357899e-02 1.83875121e-01 8.24448262e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.36           	p               	-7.94018239e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38447943e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.36           	U               	(-1.19082511e-01 -4.84164209e-01 -9.34447988e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50356881e-02 1.83875061e-01 8.24438700e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.37           	p               	-7.93946636e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455186e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.37           	U               	(-1.19081839e-01 -4.84165553e-01 -9.37821828e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50355844e-02 1.83874999e-01 8.24105483e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.38           	p               	-7.93946627e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38455271e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.38           	U               	(-1.19081170e-01 -4.84166899e-01 -9.37819067e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50354806e-02 1.83874937e-01 8.24108458e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.39           	p               	-7.94018431e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38448011e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.39           	U               	(-1.19080503e-01 -4.84168228e-01 -9.34398210e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50353786e-02 1.83874878e-01 8.24442111e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.4            	p               	-7.94017520e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38448238e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.4            	U               	(-1.19079841e-01 -4.84169552e-01 -9.34452808e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50352775e-02 1.83874820e-01 8.24437570e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.41           	p               	-7.94017621e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38448269e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.41           	U               	(-1.19079174e-01 -4.84170860e-01 -9.34463947e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50351788e-02 1.83874761e-01 8.24436033e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.42           	p               	-7.93937864e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38456521e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.42           	U               	(-1.19078522e-01 -4.84172171e-01 -9.38279579e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50350774e-02 1.83874701e-01 8.24061267e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.43           	p               	-7.93939130e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38456316e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.43           	U               	(-1.19077874e-01 -4.84173481e-01 -9.38155760e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50349739e-02 1.83874642e-01 8.24071958e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.44           	p               	-7.94029157e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38447265e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.44           	U               	(-1.19077226e-01 -4.84174777e-01 -9.33917268e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50348750e-02 1.83874582e-01 8.24490877e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.45           	p               	-7.94028432e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38447567e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.45           	U               	(-1.19076577e-01 -4.84176060e-01 -9.33978005e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50347759e-02 1.83874522e-01 8.24482375e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.46           	p               	-7.93941838e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38456229e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.46           	U               	(-1.19075936e-01 -4.84177341e-01 -9.38033068e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50346778e-02 1.83874465e-01 8.24083817e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.47           	p               	-7.93942119e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38456290e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.47           	U               	(-1.19075300e-01 -4.84178625e-01 -9.38016810e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50345799e-02 1.83874405e-01 8.24085105e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.48           	p               	-7.94027357e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38447649e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.48           	U               	(-1.19074664e-01 -4.84179892e-01 -9.33967149e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50344837e-02 1.83874349e-01 8.24482029e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.49           	p               	-7.94026745e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38447997e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.49           	U               	(-1.19074031e-01 -4.84181148e-01 -9.34066112e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50343880e-02 1.83874292e-01 8.24475434e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.5            	p               	-7.93945345e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38456073e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.5            	U               	(-1.19073401e-01 -4.84182400e-01 -9.37841736e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50342916e-02 1.83874235e-01 8.24097014e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.51           	p               	-7.93946069e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38456190e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.51           	U               	(-1.19072780e-01 -4.84183657e-01 -9.37852539e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50341942e-02 1.83874177e-01 8.24102935e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.52           	p               	-7.94026272e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38448030e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.52           	U               	(-1.19072159e-01 -4.84184895e-01 -9.34020645e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50341003e-02 1.83874122e-01 8.24475831e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.53           	p               	-7.94025261e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38448349e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.53           	U               	(-1.19071539e-01 -4.84186125e-01 -9.34116448e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50340073e-02 1.83874066e-01 8.24467481e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.54           	p               	-7.93948960e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38455987e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.54           	U               	(-1.19070924e-01 -4.84187351e-01 -9.37686457e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50339125e-02 1.83874010e-01 8.24112679e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.55           	p               	-7.93949216e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38456095e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.55           	U               	(-1.19070315e-01 -4.84188579e-01 -9.37692824e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50338188e-02 1.83873953e-01 8.24116689e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.56           	p               	-7.94025053e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38448387e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.56           	U               	(-1.19069707e-01 -4.84189791e-01 -9.34072504e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50337238e-02 1.83873899e-01 8.24469407e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.57           	p               	-7.94024228e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38448692e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.57           	U               	(-1.19069100e-01 -4.84190996e-01 -9.34159684e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50336346e-02 1.83873845e-01 8.24462181e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.58           	p               	-7.94024144e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38448691e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.58           	U               	(-1.19068495e-01 -4.84192192e-01 -9.34172172e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50335361e-02 1.83873793e-01 8.24462478e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.59           	p               	-7.93940442e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38457165e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.59           	U               	(-1.19067899e-01 -4.84193388e-01 -9.38091174e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50334513e-02 1.83873738e-01 8.24069893e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.6            	p               	-7.94002909e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38450951e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.6            	U               	(-1.19067306e-01 -4.84194581e-01 -9.35172029e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50333594e-02 1.83873684e-01 8.24365181e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.61           	p               	-7.94002056e-01	(1.25000000e-02 9.87500000e-01 2.50000000e-01)	1.38451030e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.61           	U               	(-1.19066716e-01 -4.84195767e-01 -9.35166712e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50332679e-02 1.83873629e-01 8.24360888e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.62           	p               	-7.94001614e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451060e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.62           	U               	(-1.19066125e-01 -4.84196939e-01 -9.35168297e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50331785e-02 1.83873575e-01 8.24358365e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.63           	p               	-7.94001656e-01	(1.25000000e-02 9.87500000e-01 3.50000000e-01)	1.38451239e+00	(9.87500000e-01 9.87500000e-01 7.50000000e-01)
11.63           	U               	(-1.19065538e-01 -4.84198102e-01 -9.35205156e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50330877e-02 1.83873524e-01 8.24358228e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.64           	p               	-7.94001747e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451336e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.64           	U               	(-1.19064957e-01 -4.84199269e-01 -9.35228621e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50330002e-02 1.83873471e-01 8.24356306e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.65           	p               	-7.94001697e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451364e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.65           	U               	(-1.19064380e-01 -4.84200424e-01 -9.35237047e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50329081e-02 1.83873419e-01 8.24356530e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.66           	p               	-7.94000772e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451436e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.66           	U               	(-1.19063803e-01 -4.84201576e-01 -9.35230942e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50328208e-02 1.83873368e-01 8.24351566e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.67           	p               	-7.94001105e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451477e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.67           	U               	(-1.19063227e-01 -4.84202715e-01 -9.35238593e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50327327e-02 1.83873316e-01 8.24352818e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.68           	p               	-7.94000414e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451622e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.68           	U               	(-1.19062657e-01 -4.84203856e-01 -9.35258532e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50326482e-02 1.83873262e-01 8.24349381e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.69           	p               	-7.94000872e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451633e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.69           	U               	(-1.19062088e-01 -4.84204984e-01 -9.35263199e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50325562e-02 1.83873212e-01 8.24351654e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.7            	p               	-7.94000172e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451801e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.7            	U               	(-1.19061529e-01 -4.84206115e-01 -9.35280491e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50324721e-02 1.83873160e-01 8.24348042e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.71           	p               	-7.94000562e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451775e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.71           	U               	(-1.19060966e-01 -4.84207234e-01 -9.35276634e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50323836e-02 1.83873110e-01 8.24349796e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.72           	p               	-7.93999724e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451914e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.72           	U               	(-1.19060411e-01 -4.84208346e-01 -9.35287792e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50323009e-02 1.83873061e-01 8.24345841e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.73           	p               	-7.94000058e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451931e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.73           	U               	(-1.19059858e-01 -4.84209455e-01 -9.35291375e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50322151e-02 1.83873009e-01 8.24346978e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.74           	p               	-7.93999563e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38451995e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.74           	U               	(-1.19059301e-01 -4.84210553e-01 -9.35288918e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50321286e-02 1.83872960e-01 8.24344903e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.75           	p               	-7.93999285e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452132e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.75           	U               	(-1.19058756e-01 -4.84211650e-01 -9.35316248e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50320478e-02 1.83872910e-01 8.24343353e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.76           	p               	-7.93999186e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452135e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.76           	U               	(-1.19058207e-01 -4.84212739e-01 -9.35307686e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50319632e-02 1.83872860e-01 8.24342888e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.77           	p               	-7.93999148e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452281e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.77           	U               	(-1.19057667e-01 -4.84213826e-01 -9.35330566e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50318826e-02 1.83872811e-01 8.24342566e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.78           	p               	-7.93999137e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452272e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.78           	U               	(-1.19057125e-01 -4.84214903e-01 -9.35322365e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50317949e-02 1.83872761e-01 8.24342383e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.79           	p               	-7.93998612e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452398e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.79           	U               	(-1.19056592e-01 -4.84215975e-01 -9.35337599e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50317156e-02 1.83872711e-01 8.24339798e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.8            	p               	-7.93998493e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452415e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.8            	U               	(-1.19056056e-01 -4.84217043e-01 -9.35330434e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50316353e-02 1.83872665e-01 8.24339386e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.81           	p               	-7.93998738e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452476e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.81           	U               	(-1.19055525e-01 -4.84218099e-01 -9.35340396e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50315522e-02 1.83872616e-01 8.24340043e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.82           	p               	-7.93997761e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452601e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.82           	U               	(-1.19054996e-01 -4.84219156e-01 -9.35353991e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50314741e-02 1.83872566e-01 8.24335832e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.83           	p               	-7.93998418e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452614e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.83           	U               	(-1.19054470e-01 -4.84220204e-01 -9.35355830e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50313905e-02 1.83872519e-01 8.24338471e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
11.84           	p               	-7.93997655e-01	(1.25000000e-02 9.87500000e-01 7.50000000e-01)	1.38452740e+00	(9.87500000e-01 9.87500000e-01 2.50000000e-01)
11.84           	U               	(-1.19053950e-01 -4.84221251e-01 -9.35365663e-04)	(8.87500000e-01 7.37500000e-01 5.00000000e-02)	(7.50313112e-02 1.83872473e-01 8.24335117e-03)	(6.25000000e-02 9.62500000e-01 5.00000000e-02)
